3783	24186
3497	0	21
429	0	21
3133	0	21
3025	0	21
3009	0	21
803	0	21
159	0	21
94	0	20
376	0	18
887	0	18
88	0	18
1900	0	17
160	0	17
255	0	17
350	0	16
3328	0	16
3340	0	16
648	0	16
1582	0	16
86	0	16
36	0	16
308	0	16
820	0	16
1495	0	16
636	0	16
963	0	16
593	0	16
2248	0	16
553	0	16
19	0	16
2226	0	16
1314	0	16
518	0	16
1315	0	16
2148	0	16
1723	0	16
17	0	16
56	0	16
117	0	15
3253	0	15
1176	0	15
111	0	15
10	0	15
585	0	15
34	0	15
14	0	15
1444	0	15
151	0	15
1	0	15
112	0	15
43	0	14
2400	0	14
9	0	14
2377	0	14
125	0	14
3244	0	14
782	0	14
492	0	14
1357	0	14
1179	0	14
528	0	14
332	0	14
1537	0	14
2281	0	14
1518	0	14
2965	0	14
473	0	14
329	0	14
957	0	14
16	0	14
1294	0	14
37	0	14
1951	0	14
222	0	14
624	0	13
1391	0	13
3354	0	13
1880	0	13
57	0	13
95	0	13
1579	0	13
195	0	13
145	0	13
415	0	13
1197	0	13
3318	0	13
1866	0	13
895	0	13
616	0	13
3299	0	13
1876	0	13
461	0	13
3278	0	13
453	0	13
1859	0	13
120	0	13
150	0	13
1569	0	13
1572	0	13
1062	0	13
1352	0	13
458	0	13
2333	0	13
1266	0	13
1059	0	13
1060	0	13
3609	0	13
1354	0	13
70	0	13
3069	0	13
2112	0	13
3000	0	13
395	0	13
2259	0	13
141	0	13
2237	0	13
122	0	13
2941	0	13
1508	0	13
3588	0	13
1759	0	13
2875	0	13
258	0	13
1492	0	13
2844	0	13
369	0	13
2843	0	13
2166	0	13
155	0	13
2807	0	13
254	0	13
735	0	13
3781	0	13
345	0	13
8	0	13
74	0	13
174	0	13
2753	0	13
21	0	13
154	0	13
1260	0	13
2551	0	13
2585	0	13
709	0	13
577	0	13
471	0	13
2471	0	13
1605	0	13
3	0	13
562	0	13
743	0	12
3421	0	12
249	0	12
248	0	12
2426	0	12
3413	0	12
1589	0	12
2304	0	12
1899	0	12
3391	0	12
1064	0	12
1146	0	12
1071	0	12
3374	0	12
1023	0	12
708	0	12
1381	0	12
3331	0	12
1884	0	12
3329	0	12
1196	0	12
3315	0	12
1885	0	12
153	0	12
1521	0	12
2390	0	12
3297	0	12
431	0	12
3291	0	12
3289	0	12
3775	0	12
3273	0	12
1874	0	12
290	0	12
157	0	12
1578	0	12
1845	0	12
1065	0	12
289	0	12
3232	0	12
890	0	12
246	0	12
1855	0	12
3210	0	12
114	0	12
1364	0	12
482	0	12
3209	0	12
3188	0	12
3192	0	12
2351	0	12
1846	0	12
3172	0	12
1050	0	12
1842	0	12
2341	0	12
3519	0	12
3138	0	12
1185	0	12
3166	0	12
3148	0	12
1841	0	12
3155	0	12
3140	0	12
816	0	12
1839	0	12
1838	0	12
2323	0	12
3142	0	12
3141	0	12
173	0	12
2314	0	12
1355	0	12
1834	0	12
295	0	12
3117	0	12
1541	0	12
3110	0	12
752	0	12
3087	0	12
394	0	12
3067	0	12
3041	0	12
1441	0	12
1338	0	12
595	0	12
2280	0	12
221	0	12
193	0	12
3063	0	12
1811	0	12
1795	0	12
700	0	12
123	0	12
3056	0	12
3605	0	12
2275	0	12
2270	0	12
1524	0	12
2234	0	12
3026	0	12
2089	0	12
1341	0	12
330	0	12
3022	0	12
2260	0	12
67	0	12
115	0	12
1042	0	12
3019	0	12
490	0	12
178	0	12
2251	0	12
213	0	12
438	0	12
2146	0	12
1166	0	12
696	0	12
66	0	12
1792	0	12
257	0	12
1339	0	12
2995	0	12
1519	0	12
1335	0	12
29	0	12
177	0	12
746	0	12
2961	0	12
2951	0	12
454	0	12
259	0	12
622	0	12
28	0	12
1509	0	12
2926	0	12
300	0	12
2906	0	12
2908	0	12
1147	0	12
954	0	12
1501	0	12
2852	0	12
1499	0	12
2177	0	12
1319	0	12
873	0	12
2176	0	12
2891	0	12
635	0	12
1033	0	12
1493	0	12
275	0	12
1317	0	12
116	0	12
1491	0	12
1301	0	12
1312	0	12
1490	0	12
2869	0	12
2180	0	12
1308	0	12
1749	0	12
2847	0	12
1457	0	12
950	0	12
1028	0	12
2175	0	12
2845	0	12
346	0	12
2172	0	12
2825	0	12
1741	0	12
2165	0	12
2822	0	12
2819	0	12
2813	0	12
1735	0	12
1024	0	12
1481	0	12
1482	0	12
2151	0	12
2805	0	12
1127	0	12
2800	0	12
2794	0	12
1289	0	12
1287	0	12
1435	0	12
2497	0	12
2783	0	12
586	0	12
2779	0	12
2778	0	12
304	0	12
943	0	12
2128	0	12
682	0	12
41	0	12
1135	0	12
1282	0	12
2126	0	12
2092	0	12
1283	0	12
71	0	12
263	0	12
2755	0	12
1284	0	12
612	0	12
303	0	12
1281	0	12
3458	0	12
1474	0	12
2745	0	12
1714	0	12
733	0	12
2107	0	12
1922	0	12
1464	0	12
2741	0	12
2116	0	12
1719	0	12
89	0	12
2730	0	12
1456	0	12
2724	0	12
2108	0	12
542	0	12
2101	0	12
711	0	12
230	0	12
2686	0	12
1707	0	12
1128	0	12
75	0	12
2064	0	12
1250	0	12
1247	0	12
724	0	12
2558	0	12
506	0	12
1941	0	12
1231	0	12
533	0	12
993	0	12
502	0	12
2447	0	12
845	0	12
0	159	21
0	1027	18
0	308	16
0	10	16
0	593	16
0	1315	16
0	1391	15
0	1582	15
0	887	15
0	636	15
0	1519	15
0	17	15
0	34	15
0	1900	14
0	43	14
0	9	14
0	782	14
0	820	14
0	111	14
0	963	14
0	88	14
0	19	14
0	255	14
0	222	14
0	1880	13
0	350	13
0	195	13
0	415	13
0	1876	13
0	86	13
0	2366	13
0	3253	13
0	1572	13
0	246	13
0	1352	13
0	492	13
0	1357	13
0	1176	13
0	1537	13
0	2295	13
0	221	13
0	2281	13
0	2112	13
0	2259	13
0	70	13
0	141	13
0	2248	13
0	1518	13
0	2226	13
0	1495	13
0	518	13
0	1492	13
0	1314	13
0	1749	13
0	155	13
0	8	13
0	1723	13
0	21	13
0	14	13
0	254	13
0	1266	13
0	1260	13
0	56	13
0	709	13
0	471	13
0	151	13
0	1951	13
0	1605	13
0	378	13
0	3	13
0	562	13
0	112	13
0	743	12
0	624	12
0	3421	12
0	3420	12
0	3417	12
0	3401	12
0	249	12
0	248	12
0	2426	12
0	3413	12
0	1589	12
0	3354	12
0	2304	12
0	1899	12
0	3384	12
0	1146	12
0	376	12
0	1071	12
0	95	12
0	117	12
0	3374	12
0	3366	12
0	1023	12
0	708	12
0	3348	12
0	1579	12
0	544	12
0	145	12
0	1197	12
0	1588	12
0	3340	12
0	3338	12
0	2401	12
0	2400	12
0	1381	12
0	3334	12
0	3316	12
0	3328	12
0	3331	12
0	3329	12
0	1866	12
0	1196	12
0	3318	12
0	1884	12
0	1861	12
0	1885	12
0	648	12
0	153	12
0	3315	12
0	616	12
0	3312	12
0	3299	12
0	1521	12
0	2390	12
0	895	12
0	3297	12
0	461	12
0	3294	12
0	431	12
0	3291	12
0	3289	12
0	2382	12
0	1194	12
0	3282	12
0	1874	12
0	3278	12
0	2377	12
0	1578	12
0	290	12
0	453	12
0	2374	12
0	291	12
0	157	12
0	3255	12
0	1845	12
0	3258	12
0	1065	12
0	1060	12
0	3252	12
0	1859	12
0	3246	12
0	2367	12
0	150	12
0	3244	12
0	1573	12
0	289	12
0	1569	12
0	3232	12
0	890	12
0	1855	12
0	114	12
0	3214	12
0	482	12
0	1364	12
0	3210	12
0	3209	12
0	3188	12
0	3192	12
0	1846	12
0	3201	12
0	2350	12
0	1062	12
0	2351	12
0	1050	12
0	3172	12
0	1842	12
0	3162	12
0	1185	12
0	3519	12
0	2341	12
0	3138	12
0	3166	12
0	458	12
0	2337	12
0	1841	12
0	2333	12
0	3155	12
0	816	12
0	1839	12
0	3140	12
0	1520	12
0	3148	12
0	2323	12
0	1838	12
0	3142	12
0	3147	12
0	3141	12
0	1059	12
0	3609	12
0	1354	12
0	3133	12
0	173	12
0	2314	12
0	1355	12
0	3123	12
0	1834	12
0	295	12
0	1179	12
0	3117	12
0	1541	12
0	3112	12
0	3110	12
0	3012	12
0	528	12
0	1825	12
0	3102	12
0	1821	12
0	3100	12
0	752	12
0	3082	12
0	3087	12
0	394	12
0	3083	12
0	332	12
0	1338	12
0	3067	12
0	3041	12
0	3077	12
0	595	12
0	1795	12
0	2280	12
0	3069	12
0	1441	12
0	3063	12
0	193	12
0	3061	12
0	700	12
0	3058	12
0	123	12
0	3605	12
0	3056	12
0	395	12
0	2275	12
0	2272	12
0	3047	12
0	522	12
0	2270	12
0	94	12
0	1524	12
0	2234	12
0	2260	12
0	1341	12
0	330	12
0	3026	12
0	3022	12
0	3025	12
0	372	12
0	67	12
0	1330	12
0	115	12
0	2146	12
0	3019	12
0	2251	12
0	178	12
0	3003	12
0	490	12
0	213	12
0	438	12
0	3009	12
0	2089	12
0	3005	12
0	809	12
0	1166	12
0	696	12
0	66	12
0	257	12
0	1792	12
0	2999	12
0	2998	12
0	1339	12
0	2995	12
0	2988	12
0	1042	12
0	553	12
0	1335	12
0	1336	12
0	2237	12
0	177	12
0	746	12
0	2965	12
0	2961	12
0	473	12
0	329	12
0	259	12
0	2951	12
0	454	12
0	2940	12
0	2946	12
0	2944	12
0	2941	12
0	622	12
0	1508	12
0	2925	12
0	28	12
0	2216	12
0	122	12
0	1509	12
0	1504	12
0	2926	12
0	803	12
0	2919	12
0	300	12
0	2781	12
0	2906	12
0	2908	12
0	957	12
0	1147	12
0	1501	12
0	2903	12
0	954	12
0	873	12
0	2897	12
0	1499	12
0	2197	12
0	1319	12
0	1759	12
0	1493	12
0	2177	12
0	2891	12
0	635	12
0	1033	12
0	275	12
0	2875	12
0	1317	12
0	258	12
0	2880	12
0	116	12
0	1491	12
0	2184	12
0	1312	12
0	1490	12
0	2869	12
0	1308	12
0	2180	12
0	2857	12
0	2176	12
0	1748	12
0	2847	12
0	1457	12
0	950	12
0	1028	12
0	2175	12
0	346	12
0	2845	12
0	2844	12
0	369	12
0	2172	12
0	2843	12
0	1301	12
0	2166	12
0	2836	12
0	516	12
0	2825	12
0	2165	12
0	2162	12
0	1741	12
0	2829	12
0	1294	12
0	2822	12
0	2631	12
0	2819	12
0	2813	12
0	795	12
0	1735	12
0	1024	12
0	1481	12
0	1482	12
0	2151	12
0	2809	12
0	2148	12
0	2807	12
0	2143	12
0	2805	12
0	1127	12
0	37	12
0	2800	12
0	735	12
0	2135	12
0	2794	12
0	2792	12
0	1287	12
0	1435	12
0	2497	12
0	3781	12
0	2785	12
0	2783	12
0	586	12
0	2782	12
0	2779	12
0	943	12
0	304	12
0	2778	12
0	2774	12
0	345	12
0	682	12
0	2771	12
0	2128	12
0	74	12
0	2770	12
0	174	12
0	1135	12
0	1282	12
0	2126	12
0	2766	12
0	2763	12
0	2762	12
0	2092	12
0	1283	12
0	71	12
0	263	12
0	2753	12
0	2755	12
0	1284	12
0	612	12
0	303	12
0	1281	12
0	3458	12
0	2751	12
0	2749	12
0	2745	12
0	585	12
0	2746	12
0	2118	12
0	1714	12
0	1474	12
0	733	12
0	2743	12
0	2107	12
0	1922	12
0	2742	12
0	1464	12
0	1719	12
0	2741	12
0	2116	12
0	89	12
0	2706	12
0	1456	12
0	2730	12
0	2724	12
0	2108	12
0	2712	12
0	154	12
0	542	12
0	2101	12
0	230	12
0	1707	12
0	2699	12
0	2686	12
0	1412	12
0	1128	12
0	2694	12
0	75	12
0	1444	12
0	2064	12
0	2618	12
0	2604	12
0	1250	12
0	2585	12
0	1116	12
0	299	12
0	1247	12
0	724	12
0	577	12
0	2558	12
0	506	12
0	1941	12
0	1231	12
0	41	12
0	533	12
0	993	12
0	502	12
0	2447	12
0	845	12
0	1	12
0	3526	10
0	3603	10
0	3735	10
0	3767	10
1367	1	21
163	1	21
243	1	21
61	1	21
2243	1	21
147	1	21
3581	1	21
51	1	21
263	1	21
158	1	21
65	1	21
19	1	21
59	1	21
584	1	21
96	1	21
2005	1	21
1420	1	21
352	1	21
41	1	21
36	1	21
50	1	20
184	1	20
37	1	20
3781	1	20
311	1	20
167	1	20
353	1	19
107	1	19
8	1	19
21	1	19
90	1	19
39	1	19
249	1	19
270	1	19
118	1	19
9	1	19
112	1	19
53	1	19
374	1	18
176	1	18
30	1	18
46	1	18
16	1	18
22	1	18
73	1	18
3	1	18
178	1	17
164	1	17
305	1	17
7	1	16
241	1	16
411	1	16
380	1	16
560	1	16
215	1	16
106	1	16
680	1	16
78	1	16
271	1	16
38	1	16
149	1	16
180	1	16
108	1	16
502	1	16
222	1	16
2403	1	15
23	1	15
18	1	15
6	1	15
347	1	15
10	1	15
472	1	15
1920	1	15
98	1	15
120	1	15
14	1	14
1379	1	14
29	1	14
72	1	14
84	1	14
188	1	14
786	1	14
132	1	14
1708	1	14
74	1	14
657	1	14
292	1	14
767	1	14
44	1	14
470	1	14
1631	1	14
280	1	13
268	1	13
95	1	13
2335	1	13
86	1	13
205	1	13
329	1	13
89	1	13
240	1	13
189	1	13
1493	1	13
3755	1	13
797	1	13
210	1	13
139	1	13
216	1	13
181	1	13
235	1	13
776	1	13
1097	1	13
105	1	13
236	1	13
43	1	13
1400	1	13
1408	1	13
768	1	13
1208	1	13
916	1	13
709	1	13
113	1	12
2697	1	12
1126	1	12
248	1	12
1008	1	12
1385	1	12
172	1	12
125	1	12
42	1	12
221	1	12
