Dijkstra from v0
v0 -> v1: 12
v0 -> v2: 24
v0 -> v3: 13
v0 -> v4: 24
v0 -> v5: 24
v0 -> v6: 14
v0 -> v7: 24
v0 -> v8: 13
v0 -> v9: 14
v0 -> v10: 13
v0 -> v11: 24
v0 -> v12: 15
v0 -> v13: 14
v0 -> v14: 13
v0 -> v15: 24
v0 -> v16: 24
v0 -> v17: 15
v0 -> v18: 20
v0 -> v19: 14
v0 -> v20: 24
v0 -> v21: 13
v0 -> v22: 26
v0 -> v23: 24
v0 -> v24: 24
v0 -> v25: 14
v0 -> v26: 24
v0 -> v27: 24
v0 -> v28: 12
v0 -> v29: 24
v0 -> v30: 14
v0 -> v31: 24
v0 -> v32: 24
v0 -> v33: 24
v0 -> v34: 15
v0 -> v35: 13
v0 -> v36: 24
v0 -> v37: 12
v0 -> v38: 24
v0 -> v39: 24
v0 -> v40: 15
v0 -> v41: 12
v0 -> v42: 13
v0 -> v43: 14
v0 -> v44: 15
v0 -> v45: 16
v0 -> v46: 23
v0 -> v47: 24
v0 -> v48: 24
v0 -> v49: 24
v0 -> v50: 24
v0 -> v51: 24
v0 -> v52: 24
v0 -> v53: 18
v0 -> v54: 23
v0 -> v55: 24
v0 -> v56: 13
v0 -> v57: 24
v0 -> v58: 24
v0 -> v59: 22
v0 -> v60: 26
v0 -> v61: 24
v0 -> v62: 24
v0 -> v63: 24
v0 -> v64: 24
v0 -> v65: 24
v0 -> v66: 12
v0 -> v67: 12
v0 -> v68: 24
v0 -> v69: 22
v0 -> v70: 13
v0 -> v71: 12
v0 -> v72: 24
v0 -> v73: 24
v0 -> v74: 12
v0 -> v75: 12
v0 -> v76: 24
v0 -> v77: 24
v0 -> v78: 24
v0 -> v79: 21
v0 -> v80: 24
v0 -> v81: 23
v0 -> v82: 24
v0 -> v83: 22
v0 -> v84: 14
v0 -> v85: 24
v0 -> v86: 13
v0 -> v87: 24
v0 -> v88: 14
v0 -> v89: 12
v0 -> v90: 25
v0 -> v91: 22
v0 -> v92: 17
v0 -> v93: 24
v0 -> v94: 12
v0 -> v95: 12
v0 -> v96: 24
v0 -> v97: 24
v0 -> v98: 24
v0 -> v99: 24
v0 -> v100: 24
v0 -> v101: 15
v0 -> v102: 22
v0 -> v103: 21
