date,problem,algorytm,struktura,wierzcholki,gestosc,iteracja,czas_us
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,1,7
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,2,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,3,7
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,4,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,5,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,6,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,7,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,8,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,9,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,10,7
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,11,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,12,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,13,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,14,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,15,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,16,7
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,17,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,18,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,19,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,20,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,21,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,22,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,23,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,24,2
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,25,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,26,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,27,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,28,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,29,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,30,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,31,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,32,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,33,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,34,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,35,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,36,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,37,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,38,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,39,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,40,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,41,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,42,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,43,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,44,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,45,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,46,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,47,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,48,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,49,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,50,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,51,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,52,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,53,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,54,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,55,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,56,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,57,60
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,58,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,59,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,60,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,61,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,62,3
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,63,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,64,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,65,6
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,66,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,67,4
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,avg,5
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,min,2
2026-06-25 17:03:19,mf,ford-fulkerson,lista,10,50,max,60
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,1,9
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,2,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,3,9
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,4,8
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,5,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,6,8
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,7,8
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,8,6
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,9,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,10,22
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,11,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,12,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,13,6
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,14,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,15,25
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,16,179
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,17,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,18,8
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,19,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,20,8
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,21,8
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,22,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,23,7
2026-06-25 17:03:19,mf,ford-fulkerson,macierz,10,50,24,5
