date,problem,algorytm,struktura,wierzcholki,gestosc,iteracja,czas_us
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,1,1151
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,2,1069
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,3,1189
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,4,1172
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,5,1038
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,6,974
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,7,1181
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,8,1981
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,9,1283
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,10,1401
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,11,1445
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,12,783
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,13,1573
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,14,830
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,15,824
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,16,1271
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,17,1505
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,18,1958
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,19,1668
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,20,1427
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,21,1671
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,22,2652
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,23,1716
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,24,1654
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,25,1157
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,26,963
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,27,1174
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,28,1203
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,29,1048
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,30,3241
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,31,1616
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,32,1810
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,33,1622
2026-06-25 17:04:52,mf,ford-fulkerson,lista,100,25,34,1585
