date,problem,algorytm,struktura,wierzcholki,gestosc,iteracja,czas_us
2026-06-25 17:03:30,mst,prim,lista,100,25,1,93
2026-06-25 17:03:30,mst,prim,lista,100,25,2,107
2026-06-25 17:03:30,mst,prim,lista,100,25,3,77
2026-06-25 17:03:30,mst,prim,lista,100,25,4,75
2026-06-25 17:03:30,mst,prim,lista,100,25,5,83
2026-06-25 17:03:30,mst,prim,lista,100,25,6,120
2026-06-25 17:03:30,mst,prim,lista,100,25,7,86
2026-06-25 17:03:30,mst,prim,lista,100,25,8,92
2026-06-25 17:03:30,mst,prim,lista,100,25,9,85
2026-06-25 17:03:30,mst,prim,lista,100,25,10,80
2026-06-25 17:03:30,mst,prim,lista,100,25,11,102
2026-06-25 17:03:30,mst,prim,lista,100,25,12,84
2026-06-25 17:03:30,mst,prim,lista,100,25,13,89
2026-06-25 17:03:30,mst,prim,lista,100,25,14,126
2026-06-25 17:03:30,mst,prim,lista,100,25,15,98
2026-06-25 17:03:30,mst,prim,lista,100,25,16,81
2026-06-25 17:03:30,mst,prim,lista,100,25,17,642
2026-06-25 17:03:30,mst,prim,lista,100,25,18,84
2026-06-25 17:03:30,mst,prim,lista,100,25,19,82
2026-06-25 17:03:30,mst,prim,lista,100,25,20,78
2026-06-25 17:03:30,mst,prim,lista,100,25,21,119
2026-06-25 17:03:30,mst,prim,lista,100,25,22,73
2026-06-25 17:03:30,mst,prim,lista,100,25,23,2195
2026-06-25 17:03:30,mst,prim,lista,100,25,24,98
2026-06-25 17:03:30,mst,prim,lista,100,25,25,96
2026-06-25 17:03:30,mst,prim,lista,100,25,26,99
2026-06-25 17:03:30,mst,prim,lista,100,25,27,85
2026-06-25 17:03:30,mst,prim,lista,100,25,28,83
2026-06-25 17:03:30,mst,prim,lista,100,25,29,122
2026-06-25 17:03:30,mst,prim,lista,100,25,30,86
2026-06-25 17:03:30,mst,prim,lista,100,25,31,85
2026-06-25 17:03:30,mst,prim,lista,100,25,32,161
